block;inf,block;3sg,blocks;part,blocking;1sgp,blocked
blow;inf,blow;3sg,blows;part,blowing;1sgp,blew;ppart,blown
boast;inf,boast;3sg,boasts;part,boasting;1sgp,boasted
boil;inf,boil;3sg,boils;part,boiling;1sgp,boiled
book;inf,book;3sg,books;part,booking;1sgp,booked
boost;inf,boost;3sg,boosts;part,boosting;1sgp,boosted
born;inf,born;3sg,borns;part,borning;1sgp,borned
borrow;inf,borrow;3sg,borrows;part,borrowing;1sgp,borrowed
bother;inf,bother;3sg,bothers;part,bothering;1sgp,bothered
bounce;inf,bounce;3sg,bounces;part,bouncing;1sgp,bounced
bound;inf,bound;3sg,binds;part,binding
bow;inf,bow;3sg,bows;part,bowing;1sgp,bowed
break;inf,break;3sg,breaks;part,breaking;1sgp,broke;ppart,broken
breathe;inf,breathe;3sg,breathes;part,breathing;1sgp,breathed
breed;inf,breed;3sg,breeds;part,breeding;1sgp,bred
bring;inf,bring;3sg,brings;part,bringing;1sgp,brought
brush;inf,brush;3sg,brushes;part,brushing;1sgp,brushed
build;inf,build;3sg,builds;part,building;1sgp,built
burn;inf,burn;3sg,burns;part,burning;1sgp,burnt
burst;inf,burst;3sg,bursts;part,bursting
bury;inf,bury;3sg,buries;part,burying;1sgp,buried
buy;inf,buy;3sg,buys;part,buying;1sgp,bought
calculate;inf,calculate;3sg,calculates;part,calculating;1sgp,calculated
call;inf,call;3sg,calls;part,calling;1sgp,called
calm;inf,calm;3sg,calms;part,calming;1sgp,calmed
campaign;inf,campaign;3sg,campaigns;part,campaigning;1sgp,campaigned
cancel;inf,cancel;3sg,cancels;part,cancelling;1sgp,cancelled
capture;inf,capture;3sg,captures;part,capturing;1sgp,captured
care;inf,care;3sg,cares;part,caring;1sgp,cared
carry;inf,carry;3sg,carries;part,carrying;1sgp,carried
carve;inf,carve;3sg,carves;part,carving;1sgp,carved;ppart,carven
cast;inf,cast;3sg,casts;part,casting
catch;inf,catch;3sg,catches;part,catching;1sgp,caught
cater;inf,cater;3sg,caters;part,catering;1sgp,catered
cause;inf,cause;3sg,causes;part,causing;1sgp,caused
cease;inf,cease;3sg,ceases;part,ceasing;1sgp,ceased
celebrate;inf,celebrate;3sg,celebrates;part,celebrating;1sgp,celebrated
centre;inf,centre;3sg,centres;part,centring;1sgp,centred
challenge;inf,challenge;3sg,challenges;part,challenging;1sgp,challenged
change;inf,change;3sg,changes;part,changing;1sgp,changed
characterise;inf,characterise;3sg,characterises;part,characterising;1sgp,characterised
characterize;inf,characterize;3sg,characterizes;part,characterizing;1sgp,characterized
charge;inf,charge;3sg,charges;part,charging;1sgp,charged
chase;inf,chase;3sg,chases;part,chasing;1sgp,chased
chat;inf,chat;3sg,chats;part,chatting;1sgp,chatted
check;inf,check;3sg,checks;part,checking;1sgp,checked
cheer;inf,cheer;3sg,cheers;part,cheering;1sgp,cheered
choose;inf,choose;3sg,chooses;part,choosing;1sgp,chose;ppart,chosen
circulate;inf,circulate;3sg,circulates;part,circulating;1sgp,circulated
cite;inf,cite;3sg,cites;part,citing;1sgp,cited
claim;inf,claim;3sg,claims;part,claiming;1sgp,claimed
clarify;inf,clarify;3sg,clarifies;part,clarifying;1sgp,clarified
classify;inf,classify;3sg,classifies;part,classifying;1sgp,classified
clean;inf,clean;3sg,cleans;part,cleaning;1sgp,cleaned
clear;inf,clear;3sg,clears;part,clearing;1sgp,cleared
climb;inf,climb;3sg,climbs;part,climbing;1sgp,climbed
cling;inf,cling;3sg,clings;part,clinging;1sgp,clung
close;inf,close;3sg,closes;part,closing;1sgp,closed
clutch;inf,clutch;3sg,clutches;part,clutching;1sgp,clutched
coincide;inf,coincide;3sg,coincides;part,coinciding;1sgp,coincided
collapse;inf,collapse;3sg,collapses;part,collapsing;1sgp,collapsed
collect;inf,collect;3sg,collects;part,collecting;1sgp,collected
colour;inf,colour;3sg,colours;part,colouring;1sgp,coloured
combine;inf,combine;3sg,combines;part,combining;1sgp,combined
come;inf,come;3sg,comes;part,coming;1sgp,came
command;inf,command;3sg,commands;part,commanding;1sgp,commanded
commence;inf,commence;3sg,commences;part,commencing;1sgp,commenced
comment;inf,comment;3sg,comments;part,commenting;1sgp,commented
commission;inf,commission;3sg,commissions;part,commissioning;1sgp,commissioned
commit;inf,commit;3sg,commits;part,committing;1sgp,committed
communicate;inf,communicate;3sg,communicates;part,communicating;1sgp,communicated
compare;inf,compare;3sg,compares;part,comparing;1sgp,compared
compel;inf,compel;3sg,compels;part,compelling;1sgp,compelled
compensate;inf,compensate;3sg,compensates;part,compensating;1sgp,compensated
compete;inf,compete;3sg,competes;part,competing;1sgp,competed
compile;inf,compile;3sg,compiles;part,compiling;1sgp,compiled
complain;inf,complain;3sg,complains;part,complaining;1sgp,complained
complete;inf,complete;3sg,completes;part,completing;1sgp,completed
comply;inf,comply;3sg,complies;part,complying;1sgp,complied
compose;inf,compose;3sg,composes;part,composing;1sgp,composed
comprise;inf,comprise;3sg,comprises;part,comprising;1sgp,comprised
conceal;inf,conceal;3sg,conceals;part,concealing;1sgp,concealed
concede;inf,concede;3sg,concedes;part,conceding;1sgp,conceded
conceive;inf,conceive;3sg,conceives;part,conceiving;1sgp,conceived
concentrate;inf,concentrate;3sg,concentrates;part,concentrating;1sgp,concentrated
concern;inf,concern;3sg,concerns;part,concerning;1sgp,concerned
conclude;inf,conclude;3sg,concludes;part,concluding;1sgp,concluded
condemn;inf,condemn;3sg,condemns;part,condemning;1sgp,condemned
conduct;inf,conduct;3sg,conducts;part,conducting;1sgp,conducted
confer;inf,confer;3sg,confers;part,conferring;1sgp,conferred
confess;inf,confess;3sg,confesses;part,confessing;1sgp,confessed
confine;inf,confine;3sg,confines;part,confining;1sgp,confined
confirm;inf,confirm;3sg,confirms;part,confirming;1sgp,confirmed
conform;inf,conform;3sg,conforms;part,conforming;1sgp,conformed
confront;inf,confront;3sg,confronts;part,confronting;1sgp,confronted
confuse;inf,confuse;3sg,confuses;part,confusing;1sgp,confused
connect;inf,connect;3sg,connects;part,connecting;1sgp,connected
consider;inf,consider;3sg,considers;part,considering;1sgp,considered
consist;inf,consist;3sg,consists;part,consisting;1sgp,consisted
constitute;inf,constitute;3sg,constitutes;part,constituting;1sgp,constituted
construct;inf,construct;3sg,constructs;part,constructing;1sgp,constructed
consult;inf,consult;3sg,consults;part,consulting;1sgp,consulted
consume;inf,consume;3sg,consumes;part,consuming;1sgp,consumed
contact;inf,contact;3sg,contacts;part,contacting;1sgp,contacted
contain;inf,contain;3sg,contains;part,containing;1sgp,contained
contemplate;inf,contemplate;3sg,contemplates;part,contemplating;1sgp,contemplated
continue;inf,continue;3sg,continues;part,continuing;1sgp,continued
contract;inf,contract;3sg,contracts;part,contracting;1sgp,contracted
contrast;inf,contrast;3sg,contrasts;part,contrasting;1sgp,contrasted
contribute;inf,contribute;3sg,contributes;part,contributing;1sgp,contributed
control;inf,control;3sg,controls;part,controlling;1sgp,controlled
convert;inf,convert;3sg,converts;part,converting;1sgp,converted
convey;inf,convey;3sg,conveys;part,conveying;1sgp,conveyed
convict;inf,convict;3sg,convicts;part,convicting;1sgp,convicted
convince;inf,convince;3sg,convinces;part,convincing;1sgp,convinced
cook;inf,cook;3sg,cooks;part,cooking;1sgp,cooked
cool;inf,cool;3sg,cools;part,cooling;1sgp,cooled
cope;inf,cope;3sg,copes;part,coping;1sgp,coped
copy;inf,copy;3sg,copies;part,copying;1sgp,copied
correct;inf,correct;3sg,corrects;part,correcting;1sgp,corrected
correspond;inf,correspond;3sg,corresponds;part,corresponding;1sgp,corresponded
cost;inf,cost;3sg,costs;part,costing
count;inf,count;3sg,counts;part,counting;1sgp,counted
counter;inf,counter;3sg,counters;part,countering;1sgp,countered
couple;inf,couple;3sg,couples;part,coupling;1sgp,coupled
cover;inf,cover;3sg,covers;part,covering;1sgp,covered
crack;inf,crack;3sg,cracks;part,cracking;1sgp,cracked
crash;inf,crash;3sg,crashes;part,crashing;1sgp,crashed
crawl;inf,crawl;3sg,crawls;part,crawling;1sgp,crawled
create;inf,create;3sg,creates;part,creating;1sgp,created
creep;inf,creep;3sg,creeps;part,creeping;1sgp,crept
criticise;inf,criticise;3sg,criticises;part,criticising;1sgp,criticised
criticize;inf,criticize;3sg,criticizes;part,criticizing;1sgp,criticized
cross;inf,cross;3sg,crosses;part,crossing;1sgp,crossed
crush;inf,crush;3sg,crushes;part,crushing;1sgp,crushed
cry;inf,cry;3sg,cries;part,crying;1sgp,cried
curl;inf,curl;3sg,curls;part,curling;1sgp,curled
cut;inf,cut;3sg,cuts;part,cutting
damage;inf,damage;3sg,damages;part,damaging;1sgp,damaged
dance;inf,dance;3sg,dances;part,dancing;1sgp,danced
dare;inf,dare;3sg,dares;part,daring;1sgp,dared
date;inf,date;3sg,dates;part,dating;1sgp,dated
deal;inf,deal;3sg,deals;part,dealing;1sgp,dealt
debate;inf,debate;3sg,debates;part,debating;1sgp,debated
decide;inf,decide;3sg,decides;part,deciding;1sgp,decided
declare;inf,declare;3sg,declares;part,declaring;1sgp,declared
decline;inf,decline;3sg,declines;part,declining;1sgp,declined
decorate;inf,decorate;3sg,decorates;part,decorating;1sgp,decorated
decrease;inf,decrease;3sg,decreases;part,decreasing;1sgp,decreased
dedicate;inf,dedicate;3sg,dedicates;part,dedicating;1sgp,dedicated
deem;inf,deem;3sg,deems;part,deeming;1sgp,deemed
defeat;inf,defeat;3sg,defeats;part,defeating;1sgp,defeated
defend;inf,defend;3sg,defends;part,defending;1sgp,defended
define;inf,define;3sg,defines;part,defining;1sgp,defined
delay;inf,delay;3sg,delays;part,delaying;1sgp,delayed
deliver;inf,deliver;3sg,delivers;part,delivering;1sgp,delivered
demand;inf,demand;3sg,demands;part,demanding;1sgp,demanded
demonstrate;inf,demonstrate;3sg,demonstrates;part,demonstrating;1sgp,demonstrated
deny;inf,deny;3sg,denies;part,denying;1sgp,denied
depart;inf,depart;3sg,departs;part,departing;1sgp,departed
depend;inf,depend;3sg,depends;part,depending;1sgp,depended
depict;inf,depict;3sg,depicts;part,depicting;1sgp,depicted
deposit;inf,deposit;3sg,deposits;part,depositing;1sgp,deposited
deprive;inf,deprive;3sg,deprives;part,depriving;1sgp,deprived
derive;inf,derive;3sg,derives;part,deriving;1sgp,derived
descend;inf,descend;3sg,descends;part,descending;1sgp,descended
describe;inf,describe;3sg,describes;part,describing;1sgp,described
deserve;inf,deserve;3sg,deserves;part,deserving;1sgp,deserved
design;inf,design;3sg,designs;part,designing;1sgp,designed
desire;inf,desire;3sg,desires;part,desiring;1sgp,desired
destroy;inf,destroy;3sg,destroys;part,destroying;1sgp,destroyed
detect;inf,detect;3sg,detects;part,detecting;1sgp,detected
determine;inf,determine;3sg,determines;part,determining;1sgp,determined
develop;inf,develop;3sg,develops;part,developing;1sgp,developed
devise;inf,devise;3sg,devises;part,devising;1sgp,devised
devote;inf,devote;3sg,devotes;part,devoting;1sgp,devoted
dictate;inf,dictate;3sg,dictates;part,dictating;1sgp,dictated
die;inf,die;3sg,dies;part,dying;1sgp,died
differ;inf,differ;3sg,differs;part,differing;1sgp,differed
differentiate;inf,differentiate;3sg,differentiates;part,differentiating;1sgp,differentiated
dig;inf,dig;3sg,digs;part,digging;1sgp,dug
diminish;inf,diminish;3sg,diminishes;part,diminishing;1sgp,diminished
dip;inf,dip;3sg,dips;part,dipping;1sgp,dipped
direct;inf,direct;3sg,directs;part,directing;1sgp,directed
disagree;inf,disagree;3sg,disagrees;part,disagreeing;1sgp,disagreed
disappear;inf,disappear;3sg,disappears;part,disappearing;1sgp,disappeared
discharge;inf,discharge;3sg,discharges;part,discharging;1sgp,discharged
disclose;inf,disclose;3sg,discloses;part,disclosing;1sgp,disclosed
discover;inf,discover;3sg,discovers;part,discovering;1sgp,discovered
discuss;inf,discuss;3sg,discusses;part,discussing;1sgp,discussed
dislike;inf,dislike;3sg,dislikes;part,disliking;1sgp,disliked
dismiss;inf,dismiss;3sg,dismisses;part,dismissing;1sgp,dismissed
display;inf,display;3sg,displays;part,displaying;1sgp,displayed
dispose;inf,dispose;3sg,disposes;part,disposing;1sgp,disposed
dissolve;inf,dissolve;3sg,dissolves;part,dissolving;1sgp,dissolved
distinguish;inf,distinguish;3sg,distinguishes;part,distinguishing;1sgp,distinguished
distribute;inf,distribute;3sg,distributes;part,distributing;1sgp,distributed
disturb;inf,disturb;3sg,disturbs;part,disturbing;1sgp,disturbed
divert;inf,divert;3sg,diverts;part,diverting;1sgp,diverted
divide;inf,divide;3sg,divides;part,dividing;1sgp,divided
do;inf,do;3sg,does;part,doing;1sgp,did;ppart,done
dominate;inf,dominate;3sg,dominates;part,dominating;1sgp,dominated
double;inf,double;3sg,doubles;part,doubling;1sgp,doubled
doubt;inf,doubt;3sg,doubts;part,doubting;1sgp,doubted
draft;inf,draft;3sg,drafts;part,banking;1sgp,banked
drag;inf,drag;3sg,drags;part,dragging;1sgp,dragged
drain;inf,drain;3sg,drains;part,draining;1sgp,drained
draw;inf,draw;3sg,draws;part,drawing;1sgp,drew;ppart,drawn
dream;inf,dream;3sg,dreams;part,dreaming;1sgp,dreamt
dress;inf,dress;3sg,dresses;part,dressing;1sgp,dressed
drift;inf,drift;3sg,drifts;part,drifting;1sgp,drifted
drink;inf,drink;3sg,drinks;part,drinking;1sgp,drank;ppart,drunk
drive;inf,drive;3sg,drives;part,driving;1sgp,drove;ppart,driven
drop;inf,drop;3sg,drops;part,dropping;1sgp,dropped
drown;inf,drown;3sg,drowns;part,drowning;1sgp,drowned
dry;inf,dry;3sg,dries;part,drying;1sgp,dried
dump;inf,dump;3sg,dumps;part,dumping;1sgp,dumped
earn;inf,earn;3sg,earns;part,earning;1sgp,earned
ease;inf,ease;3sg,eases;part,easing;1sgp,eased
eat;inf,eat;3sg,eats;part,eating;1sgp,ate;ppart,eaten
echo;inf,echo;3sg,echoes;part,echoing;1sgp,echoed
edit;inf,edit;3sg,edits;part,editing;1sgp,edited
educate;inf,educate;3sg,educates;part,educating;1sgp,educated
effect;inf,effect;3sg,effects;part,effecting;1sgp,effected
elect;inf,elect;3sg,elects;part,electing;1sgp,elected
eliminate;inf,eliminate;3sg,eliminates;part,eliminating;1sgp,eliminated
embark;inf,embark;3sg,embarks;part,embarking;1sgp,embarked
embody;inf,embody;3sg,embodies;part,embodying;1sgp,embodied
embrace;inf,embrace;3sg,embraces;part,embracing;1sgp,embraced
emerge;inf,emerge;3sg,emerges;part,emerging;1sgp,emerged
emphasise;inf,emphasise;3sg,emphasises;part,emphasising;1sgp,emphasised
emphasize;inf,emphasize;3sg,emphasizes;part,emphasizing;1sgp,emphasized
employ;inf,employ;3sg,employs;part,employing;1sgp,employed
enable;inf,enable;3sg,enables;part,enabling;1sgp,enabled
enclose;inf,enclose;3sg,encloses;part,enclosing;1sgp,enclosed
encounter;inf,encounter;3sg,encounters;part,encountering;1sgp,encountered
encourage;inf,encourage;3sg,encourages;part,encouraging;1sgp,encouraged
end;inf,end;3sg,ends;part,ending;1sgp,ended
endorse;inf,endorse;3sg,endorses;part,endorsing;1sgp,endorsed
enforce;inf,enforce;3sg,enforces;part,enforcing;1sgp,enforced
engage;inf,engage;3sg,engages;part,engaging;1sgp,engaged
enhance;inf,enhance;3sg,enhances;part,enhancing;1sgp,enhanced
enjoy;inf,enjoy;3sg,enjoys;part,enjoying;1sgp,enjoyed
enquire;inf,enquire;3sg,enquires;part,enquiring;1sgp,enquired
ensure;inf,ensure;3sg,ensures;part,ensuring;1sgp,ensured
entail;inf,entail;3sg,entails;part,entailing;1sgp,entailed
enter;inf,enter;3sg,enters;part,entering;1sgp,entered
entertain;inf,entertain;3sg,entertains;part,entertaining;1sgp,entertained
entitle;inf,entitle;3sg,entitles;part,entitling;1sgp,entitled
envisage;inf,envisage;3sg,envisages;part,envisaging;1sgp,envisaged
equip;inf,equip;3sg,equips;part,equipping;1sgp,equipped
erect;inf,erect;3sg,erects;part,erecting;1sgp,erected
escape;inf,escape;3sg,escapes;part,scaping;1sgp,scaped
establish;inf,establish;3sg,establishes;part,establishing;1sgp,established
estimate;inf,estimate;3sg,estimates;part,estimating;1sgp,estimated
evaluate;inf,evaluate;3sg,evaluates;part,evaluating;1sgp,evaluated
