abanderar;inf,abanderar;1sg,abandero;2sg,abanderas;3sg,abandera;1pl,abanderamos;2pl,abanderáis;3pl,abanderan;part,abanderando;2pl!,abanderad;1sg->,abanderaría;2sg->,abanderarías;1pl->,abanderaríamos;2pl->,abanderaríais;3pl->,abanderarían;1sg?,abandere;2sg?,abanderes;1pl?,abanderemos;2pl?,abanderéis;3pl?,abanderen;1sgp,abanderaba;2sgp,abanderabas;1ppl,abanderábamos;2ppl,abanderabais;3ppl,abanderaban;ppart,abanderado;1sgp?,abanderara;2sgp?,abanderaras;1ppl?,abanderáramos;2ppl?,abanderarais;3ppl?,abanderaran;1sgf,abanderaré;2sgf,abanderarás;3sgf,abanderará;1plf,abanderaremos;2plf,abanderaréis;3plf,abanderarán
amparar;inf,amparar;1sg,amparo;2sg,amparas;3sg,ampara;1pl,amparamos;2pl,amparáis;3pl,amparan;part,amparando;2pl!,amparad;1sg->,ampararía;2sg->,ampararías;1pl->,ampararíamos;2pl->,ampararíais;3pl->,ampararían;1sg?,ampare;2sg?,ampares;1pl?,amparemos;2pl?,amparéis;3pl?,amparen;1sgp,amparaba;2sgp,amparabas;1ppl,amparábamos;2ppl,amparabais;3ppl,amparaban;ppart,amparado;1sgp?,amparara;2sgp?,ampararas;1ppl?,amparáramos;2ppl?,ampararais;3ppl?,ampararan;1sgf,ampararé;2sgf,ampararás;3sgf,amparará;1plf,ampararemos;2plf,ampararéis;3plf,ampararán
ampliar;inf,ampliar;1sg,amplio;2sg,amplias;3sg,amplia;1pl,ampliamos;2pl,ampliáis;3pl,amplian;part,ampliando;2pl!,ampliad;1sg->,ampliaría;2sg->,ampliarías;1pl->,ampliaríamos;2pl->,ampliaríais;3pl->,ampliarían;1sg?,amplie;2sg?,amplies;1pl?,ampliemos;2pl?,ampliéis;3pl?,amplien;1sgp,ampliaba;2sgp,ampliabas;1ppl,ampliábamos;2ppl,ampliabais;3ppl,ampliaban;ppart,ampliado;1sgp?,ampliara;2sgp?,ampliaras;1ppl?,ampliáramos;2ppl?,ampliarais;3ppl?,ampliaran;1sgf,ampliaré;2sgf,ampliarás;3sgf,ampliará;1plf,ampliaremos;2plf,ampliaréis;3plf,ampliarán
amueblar;inf,amueblar;1sg,amueblo;2sg,amueblas;3sg,amuebla;1pl,amueblamos;2pl,amuebláis;3pl,amueblan;part,amueblando;2pl!,amueblad;1sg->,amueblaría;2sg->,amueblarías;1pl->,amueblaríamos;2pl->,amueblaríais;3pl->,amueblarían;1sg?,amueble;2sg?,amuebles;1pl?,amueblemos;2pl?,amuebléis;3pl?,amueblen;1sgp,amueblaba;2sgp,amueblabas;1ppl,amueblábamos;2ppl,amueblabais;3ppl,amueblaban;ppart,amueblado;1sgp?,amueblara;2sgp?,amueblaras;1ppl?,amuebláramos;2ppl?,amueblarais;3ppl?,amueblaran;1sgf,amueblaré;2sgf,amueblarás;3sgf,amueblará;1plf,amueblaremos;2plf,amueblaréis;3plf,amueblarán
analizar;inf,analizar;1sg,analizo;2sg,analizas;3sg,analiza;1pl,analizamos;2pl,analizáis;3pl,analizan;part,analizando;2pl!,analizad;1sg->,analizaría;2sg->,analizarías;1pl->,analizaríamos;2pl->,analizaríais;3pl->,analizarían;1sg?,analize;2sg?,analizes;1pl?,analizemos;2pl?,analizéis;3pl?,analizen;1sgp,analizaba;2sgp,analizabas;1ppl,analizábamos;2ppl,analizabais;3ppl,analizaban;ppart,analizado;1sgp?,analizara;2sgp?,analizaras;1ppl?,analizáramos;2ppl?,analizarais;3ppl?,analizaran;1sgf,analizaré;2sgf,analizarás;3sgf,analizará;1plf,analizaremos;2plf,analizaréis;3plf,analizarán
andar;inf,andar;1sg,ando;2sg,andas;3sg,anda;1pl,andamos;2pl,andáis;3pl,andan;part,andando;2pl!,andad;1sg->,andaría;2sg->,andarías;1pl->,andaríamos;2pl->,andaríais;3pl->,andarían;1sg?,ande;2sg?,andes;1pl?,andemos;2pl?,andéis;3pl?,anden;1sgp,andaba;2sgp,andabas;1ppl,andábamos;2ppl,andabais;3ppl,andaban;ppart,andado;1sgp?,anduviera;2sgp?,anduvieras;1ppl?,anduviéramos;2ppl?,anduvierais;3ppl?,anduvieran;1sgf,andaré;2sgf,andarás;3sgf,andará;1plf,andaremos;2plf,andaréis;3plf,andarán
animar;inf,animar;1sg,animo;2sg,animas;3sg,anima;1pl,animamos;2pl,animáis;3pl,animan;part,animando;2pl!,animad;1sg->,animaría;2sg->,animarías;1pl->,animaríamos;2pl->,animaríais;3pl->,animarían;1sg?,anime;2sg?,animes;1pl?,animemos;2pl?,animéis;3pl?,animen;1sgp,animaba;2sgp,animabas;1ppl,animábamos;2ppl,animabais;3ppl,animaban;ppart,animado;1sgp?,animara;2sgp?,animaras;1ppl?,animáramos;2ppl?,animarais;3ppl?,animaran;1sgf,animaré;2sgf,animarás;3sgf,animará;1plf,animaremos;2plf,animaréis;3plf,animarán
anochecer;inf,anochecer;1sg,anocheco;2sg,anocheces;3sg,anochece;1pl,anochecemos;2pl,anochecéis;3pl,anochecen;part,anocheciendo;2sg!,anocheca;2pl!,anocheced;1sg->,anochecería;2sg->,anochecerías;1pl->,anocheceríamos;2pl->,anocheceríais;3pl->,anochecerían;2sg?,anochecas;1pl?,anochecamos;2pl?,anochecáis;3pl?,anochecan;1sgp,anochecía;2sgp,anochecías;1ppl,anochecíamos;2ppl,anochecíais;3ppl,anochecían;ppart,anochecido;1sgp?,anocheciera;2sgp?,anochecieras;1ppl?,anocheciéramos;2ppl?,anochecierais;3ppl?,anochecieran;1sgf,anocheceré;2sgf,anochecerás;3sgf,anochecerá;1plf,anocheceremos;2plf,anocheceréis;3plf,anochecerán
anotar;inf,anotar;1sg,anoto;2sg,anotas;3sg,anota;1pl,anotamos;2pl,anotáis;3pl,anotan;part,anotando;2pl!,anotad;1sg->,anotaría;2sg->,anotarías;1pl->,anotaríamos;2pl->,anotaríais;3pl->,anotarían;1sg?,anote;2sg?,anotes;1pl?,anotemos;2pl?,anotéis;3pl?,anoten;1sgp,anotaba;2sgp,anotabas;1ppl,anotábamos;2ppl,anotabais;3ppl,anotaban;ppart,anotado;1sgp?,anotara;2sgp?,anotaras;1ppl?,anotáramos;2ppl?,anotarais;3ppl?,anotaran;1sgf,anotaré;2sgf,anotarás;3sgf,anotará;1plf,anotaremos;2plf,anotaréis;3plf,anotarán
ansiar;inf,ansiar;1sg,ansio;2sg,ansias;3sg,ansia;1pl,ansiamos;2pl,ansiáis;3pl,ansian;part,ansiando;2pl!,ansiad;1sg->,ansiaría;2sg->,ansiarías;1pl->,ansiaríamos;2pl->,ansiaríais;3pl->,ansiarían;1sg?,ansie;2sg?,ansies;1pl?,ansiemos;2pl?,ansiéis;3pl?,ansien;1sgp,ansiaba;2sgp,ansiabas;1ppl,ansiábamos;2ppl,ansiabais;3ppl,ansiaban;ppart,ansiado;1sgp?,ansiara;2sgp?,ansiaras;1ppl?,ansiáramos;2ppl?,ansiarais;3ppl?,ansiaran;1sgf,ansiaré;2sgf,ansiarás;3sgf,ansiará;1plf,ansiaremos;2plf,ansiaréis;3plf,ansiarán
antedecir;inf,antedecir;1sg,antedeco;2sg,antedeces;3sg,antedece;1pl,antedecimos;2pl,antedeceis;3pl,antedecen;part,antedeciendo;2sg!,antedeca;2pl!,antedecid;1sg->,antedeciría;2sg->,antedecirías;1pl->,antedeciríamos;2pl->,antedeciríais;3pl->,antedecirían;2sg?,antedecas;1pl?,antedecamos;2pl?,antedecáis;3pl?,antedecan;1sgp,antedecía;2sgp,antedecías;1ppl,antedecíamos;2ppl,antedecíais;3ppl,antedecían;ppart,antedecido;1sgp?,antedeciera;2sgp?,antedecieras;1ppl?,antedeciéramos;2ppl?,antedecierais;3ppl?,antedecieran;1sgf,antedeciré;2sgf,antedecirás;3sgf,antedecirá;1plf,antedeciremos;2plf,antedeciréis;3plf,antedecirán
anteponer;inf,anteponer;1sg,antepono;2sg,antepones;3sg,antepone;1pl,anteponemos;2pl,anteponéis;3pl,anteponen;part,anteponiendo;2sg!,antepona;2pl!,anteponed;1sg->,anteponería;2sg->,anteponerías;1pl->,anteponeríamos;2pl->,anteponeríais;3pl->,anteponerían;2sg?,anteponas;1pl?,anteponamos;2pl?,anteponáis;3pl?,anteponan;1sgp,anteponía;2sgp,anteponías;1ppl,anteponíamos;2ppl,anteponíais;3ppl,anteponían;ppart,anteponido;1sgp?,anteponiera;2sgp?,anteponieras;1ppl?,anteponiéramos;2ppl?,anteponierais;3ppl?,anteponieran;1sgf,anteponeré;2sgf,anteponerás;3sgf,anteponerá;1plf,anteponeremos;2plf,anteponeréis;3plf,anteponerán
anular;inf,anular;1sg,anulo;2sg,anulas;3sg,anula;1pl,anulamos;2pl,anuláis;3pl,anulan;part,anulando;2pl!,anulad;1sg->,anularía;2sg->,anularías;1pl->,anularíamos;2pl->,anularíais;3pl->,anularían;1sg?,anule;2sg?,anules;1pl?,anulemos;2pl?,anuléis;3pl?,anulen;1sgp,anulaba;2sgp,anulabas;1ppl,anulábamos;2ppl,anulabais;3ppl,anulaban;ppart,anulado;1sgp?,anulara;2sgp?,anularas;1ppl?,anuláramos;2ppl?,anularais;3ppl?,anularan;1sgf,anularé;2sgf,anularás;3sgf,anulará;1plf,anularemos;2plf,anularéis;3plf,anularán
anunciar;inf,anunciar;1sg,anuncio;2sg,anuncias;3sg,anuncia;1pl,anunciamos;2pl,anunciáis;3pl,anuncian;part,anunciando;2pl!,anunciad;1sg->,anunciaría;2sg->,anunciarías;1pl->,anunciaríamos;2pl->,anunciaríais;3pl->,anunciarían;1sg?,anuncie;2sg?,anuncies;1pl?,anunciemos;2pl?,anunciéis;3pl?,anuncien;1sgp,anunciaba;2sgp,anunciabas;1ppl,anunciábamos;2ppl,anunciabais;3ppl,anunciaban;ppart,anunciado;1sgp?,anunciara;2sgp?,anunciaras;1ppl?,anunciáramos;2ppl?,anunciarais;3ppl?,anunciaran;1sgf,anunciaré;2sgf,anunciarás;3sgf,anunciará;1plf,anunciaremos;2plf,anunciaréis;3plf,anunciarán
apaciguar;inf,apaciguar;1sg,apaciguo;2sg,apaciguas;3sg,apacigua;1pl,apaciguamos;2pl,apaciguáis;3pl,apaciguan;part,apaciguando;2pl!,apaciguad;1sg->,apaciguaría;2sg->,apaciguarías;1pl->,apaciguaríamos;2pl->,apaciguaríais;3pl->,apaciguarían;1sg?,apacigue;2sg?,apacigues;1pl?,apaciguemos;2pl?,apaciguéis;3pl?,apaciguen;1sgp,apaciguaba;2sgp,apaciguabas;1ppl,apaciguábamos;2ppl,apaciguabais;3ppl,apaciguaban;ppart,apaciguado;1sgp?,apaciguara;2sgp?,apaciguaras;1ppl?,apaciguáramos;2ppl?,apaciguarais;3ppl?,apaciguaran;1sgf,apaciguaré;2sgf,apaciguarás;3sgf,apaciguará;1plf,apaciguaremos;2plf,apaciguaréis;3plf,apaciguarán
apagar;inf,apagar;1sg,apago;2sg,apagas;3sg,apaga;1pl,apagamos;2pl,apagáis;3pl,apagan;part,apagando;2pl!,apagad;1sg->,apagaría;2sg->,apagarías;1pl->,apagaríamos;2pl->,apagaríais;3pl->,apagarían;1sg?,apague;2sg?,apagues;1pl?,apaguemos;2pl?,apaguéis;3pl?,apaguen;1sgp,apagaba;2sgp,apagabas;1ppl,apagábamos;2ppl,apagabais;3ppl,apagaban;ppart,apagado;1sgp?,apagara;2sgp?,apagaras;1ppl?,apagáramos;2ppl?,apagarais;3ppl?,apagaran;1sgf,apagaré;2sgf,apagarás;3sgf,apagará;1plf,apagaremos;2plf,apagaréis;3plf,apagarán
aparcar;inf,aparcar;1sg,aparco;2sg,aparcas;3sg,aparca;1pl,aparcamos;2pl,aparcáis;3pl,aparcan;part,aparcando;2pl!,aparcad;1sg->,aparcaría;2sg->,aparcarías;1pl->,aparcaríamos;2pl->,aparcaríais;3pl->,aparcarían;1sg?,aparce;2sg?,aparces;1pl?,aparcemos;2pl?,aparcéis;3pl?,aparcen;1sgp,aparcaba;2sgp,aparcabas;1ppl,aparcábamos;2ppl,aparcabais;3ppl,aparcaban;ppart,aparcado;1sgp?,aparcara;2sgp?,aparcaras;1ppl?,aparcáramos;2ppl?,aparcarais;3ppl?,aparcaran;1sgf,aparcaré;2sgf,aparcarás;3sgf,aparcará;1plf,aparcaremos;2plf,aparcaréis;3plf,aparcarán
aparecer;inf,aparecer;1sg,aparezco;2sg,apareces;3sg,aparece;1pl,aparecemos;2pl,aparecéis;3pl,aparecen;part,apareciendo;2pl!,apareced;1sg->,aparecería;2sg->,aparecerías;1pl->,apareceríamos;2pl->,apareceríais;3pl->,aparecerían;1sg?,aparezca;2sg?,aparezcas;1pl?,aparezcamos;2pl?,aparezcáis;3pl?,aparezcan;1sgp,aparecía;2sgp,aparecías;1ppl,aparecíamos;2ppl,aparecíais;3ppl,aparecían;ppart,aparecido;1sgp?,apareciera;2sgp?,aparecieras;1ppl?,apareciéramos;2ppl?,aparecierais;3ppl?,aparecieran;1sgf,apareceré;2sgf,aparecerás;3sgf,aparecerá;1plf,apareceremos;2plf,apareceréis;3plf,aparecerán
aparentar;inf,aparentar;1sg,aparento;2sg,aparentas;3sg,aparenta;1pl,aparentamos;2pl,aparentáis;3pl,aparentan;part,aparentando;2pl!,aparentad;1sg->,aparentaría;2sg->,aparentarías;1pl->,aparentaríamos;2pl->,aparentaríais;3pl->,aparentarían;1sg?,aparente;2sg?,aparentes;1pl?,aparentemos;2pl?,aparentéis;3pl?,aparenten;1sgp,aparentaba;2sgp,aparentabas;1ppl,aparentábamos;2ppl,aparentabais;3ppl,aparentaban;ppart,aparentado;1sgp?,aparentara;2sgp?,aparentaras;1ppl?,aparentáramos;2ppl?,aparentarais;3ppl?,aparentaran;1sgf,aparentaré;2sgf,aparentarás;3sgf,aparentará;1plf,aparentaremos;2plf,aparentaréis;3plf,aparentarán
apartar;inf,apartar;1sg,aparto;2sg,apartas;3sg,aparta;1pl,apartamos;2pl,apartáis;3pl,apartan;part,apartando;2pl!,apartad;1sg->,apartaría;2sg->,apartarías;1pl->,apartaríamos;2pl->,apartaríais;3pl->,apartarían;1sg?,aparte;2sg?,apartes;1pl?,apartemos;2pl?,apartéis;3pl?,aparten;1sgp,apartaba;2sgp,apartabas;1ppl,apartábamos;2ppl,apartabais;3ppl,apartaban;ppart,apartado;1sgp?,apartara;2sgp?,apartaras;1ppl?,apartáramos;2ppl?,apartarais;3ppl?,apartaran;1sgf,apartaré;2sgf,apartarás;3sgf,apartará;1plf,apartaremos;2plf,apartaréis;3plf,apartarán
apellidar;inf,apellidar;1sg,apellido;2sg,apellidas;3sg,apellida;1pl,apellidamos;2pl,apellidáis;3pl,apellidan;part,apellidando;2pl!,apellidad;1sg->,apellidaría;2sg->,apellidarías;1pl->,apellidaríamos;2pl->,apellidaríais;3pl->,apellidarían;1sg?,apellide;2sg?,apellides;1pl?,apellidemos;2pl?,apellidéis;3pl?,apelliden;1sgp,apellidaba;2sgp,apellidabas;1ppl,apellidábamos;2ppl,apellidabais;3ppl,apellidaban;ppart,apellidado;1sgp?,apellidara;2sgp?,apellidaras;1ppl?,apellidáramos;2ppl?,apellidarais;3ppl?,apellidaran;1sgf,apellidaré;2sgf,apellidarás;3sgf,apellidará;1plf,apellidaremos;2plf,apellidaréis;3plf,apellidarán
apestar;inf,apestar;1sg,apesto;2sg,apestas;3sg,apesta;1pl,apestamos;2pl,apestáis;3pl,apestan;part,apestando;2pl!,apestad;1sg->,apestaría;2sg->,apestarías;1pl->,apestaríamos;2pl->,apestaríais;3pl->,apestarían;1sg?,apeste;2sg?,apestes;1pl?,apestemos;2pl?,apestéis;3pl?,apesten;1sgp,apestaba;2sgp,apestabas;1ppl,apestábamos;2ppl,apestabais;3ppl,apestaban;ppart,apestado;1sgp?,apestara;2sgp?,apestaras;1ppl?,apestáramos;2ppl?,apestarais;3ppl?,apestaran;1sgf,apestaré;2sgf,apestarás;3sgf,apestará;1plf,apestaremos;2plf,apestaréis;3plf,apestarán
apetecer;inf,apetecer;1sg,apeteco;2sg,apeteces;3sg,apetece;1pl,apetecemos;2pl,apetecéis;3pl,apetecen;part,apeteciendo;2sg!,apeteca;2pl!,apeteced;1sg->,apetecería;2sg->,apetecerías;1pl->,apeteceríamos;2pl->,apeteceríais;3pl->,apetecerían;2sg?,apetecas;1pl?,apetecamos;2pl?,apetecáis;3pl?,apetecan;1sgp,apetecía;2sgp,apetecías;1ppl,apetecíamos;2ppl,apetecíais;3ppl,apetecían;ppart,apetecido;1sgp?,apeteciera;2sgp?,apetecieras;1ppl?,apeteciéramos;2ppl?,apetecierais;3ppl?,apetecieran;1sgf,apeteceré;2sgf,apetecerás;3sgf,apetecerá;1plf,apeteceremos;2plf,apeteceréis;3plf,apetecerán
apilar;inf,apilar;1sg,apilo;2sg,apilas;3sg,apila;1pl,apilamos;2pl,apiláis;3pl,apilan;part,apilando;2pl!,apilad;1sg->,apilaría;2sg->,apilarías;1pl->,apilaríamos;2pl->,apilaríais;3pl->,apilarían;1sg?,apile;2sg?,apiles;1pl?,apilemos;2pl?,apiléis;3pl?,apilen;1sgp,apilaba;2sgp,apilabas;1ppl,apilábamos;2ppl,apilabais;3ppl,apilaban;ppart,apilado;1sgp?,apilara;2sgp?,apilaras;1ppl?,apiláramos;2ppl?,apilarais;3ppl?,apilaran;1sgf,apilaré;2sgf,apilarás;3sgf,apilará;1plf,apilaremos;2plf,apilaréis;3plf,apilarán
aplastar;inf,aplastar;1sg,aplasto;2sg,aplastas;3sg,aplasta;1pl,aplastamos;2pl,aplastáis;3pl,aplastan;part,aplastando;2pl!,aplastad;1sg->,aplastaría;2sg->,aplastarías;1pl->,aplastaríamos;2pl->,aplastaríais;3pl->,aplastarían;1sg?,aplaste;2sg?,aplastes;1pl?,aplastemos;2pl?,aplastéis;3pl?,aplasten;1sgp,aplastaba;2sgp,aplastabas;1ppl,aplastábamos;2ppl,aplastabais;3ppl,aplastaban;ppart,aplastado;1sgp?,aplastara;2sgp?,aplastaras;1ppl?,aplastáramos;2ppl?,aplastarais;3ppl?,aplastaran;1sgf,aplastaré;2sgf,aplastarás;3sgf,aplastará;1plf,aplastaremos;2plf,aplastaréis;3plf,aplastarán
aplaudir;inf,aplaudir;1sg,aplaudo;2sg,aplaudes;3sg,aplaude;1pl,aplaudimos;2pl,aplaudís;3pl,aplauden;part,aplaudiendo;2pl!,aplaudid;1sg->,aplaudiría;2sg->,aplaudirías;1pl->,aplaudiríamos;2pl->,aplaudiríais;3pl->,aplaudirían;1sg?,aplauda;2sg?,aplaudas;1pl?,aplaudamos;2pl?,aplaudáis;3pl?,aplaudan;1sgp,aplaudía;2sgp,aplaudías;1ppl,aplaudíamos;2ppl,aplaudíais;3ppl,aplaudían;ppart,aplaudido;1sgp?,aplaudiera;2sgp?,aplaudieras;1ppl?,aplaudiéramos;2ppl?,aplaudierais;3ppl?,aplaudieran;1sgf,aplaudiré;2sgf,aplaudirás;3sgf,aplaudirá;1plf,aplaudiremos;2plf,aplaudiréis;3plf,aplaudirán
aplazar;inf,aplazar;1sg,aplazo;2sg,aplazas;3sg,aplaza;1pl,aplazamos;2pl,aplazáis;3pl,aplazan;part,aplazando;2pl!,aplazad;1sg->,aplazaría;2sg->,aplazarías;1pl->,aplazaríamos;2pl->,aplazaríais;3pl->,aplazarían;1sg?,aplaze;2sg?,aplazes;1pl?,aplazemos;2pl?,aplazéis;3pl?,aplazen;1sgp,aplazaba;2sgp,aplazabas;1ppl,aplazábamos;2ppl,aplazabais;3ppl,aplazaban;ppart,aplazado;1sgp?,aplazara;2sgp?,aplazaras;1ppl?,aplazáramos;2ppl?,aplazarais;3ppl?,aplazaran;1sgf,aplazaré;2sgf,aplazarás;3sgf,aplazará;1plf,aplazaremos;2plf,aplazaréis;3plf,aplazarán
aplicar;inf,aplicar;1sg,aplico;2sg,aplicas;3sg,aplica;1pl,aplicamos;2pl,aplicáis;3pl,aplican;part,aplicando;2pl!,aplicad;1sg->,aplicaría;2sg->,aplicarías;1pl->,aplicaríamos;2pl->,aplicaríais;3pl->,aplicarían;1sg?,aplique;2sg?,apliques;1pl?,apliquemos;2pl?,apliquéis;3pl?,apliquen;1sgp,aplicaba;2sgp,aplicabas;1ppl,aplicábamos;2ppl,aplicabais;3ppl,aplicaban;ppart,aplicado;1sgp?,aplicara;2sgp?,aplicaras;1ppl?,aplicáramos;2ppl?,aplicarais;3ppl?,aplicaran;1sgf,aplicaré;2sgf,aplicarás;3sgf,aplicará;1plf,aplicaremos;2plf,aplicaréis;3plf,aplicarán
apostar;inf,apostar;1sg,apuesto;2sg,apuestas;3sg,apuesta;1pl,apostamos;2pl,apostáis;3pl,apuestan;part,apostando;2pl!,apostad;1sg->,apostaría;2sg->,apostarías;1pl->,apostaríamos;2pl->,apostaríais;3pl->,apostarían;1sg?,apueste;2sg?,apuestes;1pl?,apostemos;2pl?,apostéis;3pl?,apuesten;1sgp,apostaba;2sgp,apostabas;1ppl,apostábamos;2ppl,apostabais;3ppl,apostaban;ppart,apostado;1sgp?,apostara;2sgp?,apostaras;1ppl?,apostáramos;2ppl?,apostarais;3ppl?,apostaran;1sgf,apostaré;2sgf,apostarás;3sgf,apostará;1plf,apostaremos;2plf,apostaréis;3plf,apostarán
apoyar;inf,apoyar;1sg,apoyo;2sg,apoyas;3sg,apoya;1pl,apoyamos;2pl,apoyáis;3pl,apoyan;part,apoyando;2pl!,apoyad;1sg->,apoyaría;2sg->,apoyarías;1pl->,apoyaríamos;2pl->,apoyaríais;3pl->,apoyarían;1sg?,apoye;2sg?,apoyes;1pl?,apoyemos;2pl?,apoyéis;3pl?,apoyen;1sgp,apoyaba;2sgp,apoyabas;1ppl,apoyábamos;2ppl,apoyabais;3ppl,apoyaban;ppart,apoyado;1sgp?,apoyara;2sgp?,apoyaras;1ppl?,apoyáramos;2ppl?,apoyarais;3ppl?,apoyaran;1sgf,apoyaré;2sgf,apoyarás;3sgf,apoyará;1plf,apoyaremos;2plf,apoyaréis;3plf,apoyarán
apreciar;inf,apreciar;1sg,aprecio;2sg,aprecias;3sg,aprecia;1pl,apreciamos;2pl,apreciáis;3pl,aprecian;part,apreciando;2pl!,apreciad;1sg->,apreciaría;2sg->,apreciarías;1pl->,apreciaríamos;2pl->,apreciaríais;3pl->,apreciarían;1sg?,aprecie;2sg?,aprecies;1pl?,apreciemos;2pl?,apreciéis;3pl?,aprecien;1sgp,apreciaba;2sgp,apreciabas;1ppl,apreciábamos;2ppl,apreciabais;3ppl,apreciaban;ppart,apreciado;1sgp?,apreciara;2sgp?,apreciaras;1ppl?,apreciáramos;2ppl?,apreciarais;3ppl?,apreciaran;1sgf,apreciaré;2sgf,apreciarás;3sgf,apreciará;1plf,apreciaremos;2plf,apreciaréis;3plf,apreciarán
aprehender;inf,aprehender;1sg,aprehendo;2sg,aprehendes;3sg,aprehende;1pl,aprehendemos;2pl,aprehendéis;3pl,aprehenden;part,aprehendiendo;2sg!,aprehenda;2pl!,aprehended;1sg->,aprehendería;2sg->,aprehenderías;1pl->,aprehenderíamos;2pl->,aprehenderíais;3pl->,aprehenderían;2sg?,aprehendas;1pl?,aprehendamos;2pl?,aprehendáis;3pl?,aprehendan;1sgp,aprehendía;2sgp,aprehendías;1ppl,aprehendíamos;2ppl,aprehendíais;3ppl,aprehendían;ppart,aprehendido;1sgp?,aprehendiera;2sgp?,aprehendieras;1ppl?,aprehendiéramos;2ppl?,aprehendierais;3ppl?,aprehendieran;1sgf,aprehenderé;2sgf,aprehenderás;3sgf,aprehenderá;1plf,aprehenderemos;2plf,aprehenderéis;3plf,aprehenderán
aprender;inf,aprender;1sg,aprendo;2sg,aprendes;3sg,aprende;1pl,aprendemos;2pl,aprendéis;3pl,aprenden;part,aprendiendo;2pl!,aprended;1sg->,aprendería;2sg->,aprenderías;1pl->,aprenderíamos;2pl->,aprenderíais;3pl->,aprenderían;1sg?,aprenda;2sg?,aprendas;1pl?,aprendamos;2pl?,aprendáis;3pl?,aprendan;1sgp,aprendía;2sgp,aprendías;1ppl,aprendíamos;2ppl,aprendíais;3ppl,aprendían;ppart,aprendido;1sgp?,aprendiera;2sgp?,aprendieras;1ppl?,aprendiéramos;2ppl?,aprendierais;3ppl?,aprendieran;1sgf,aprenderé;2sgf,aprenderás;3sgf,aprenderá;1plf,aprenderemos;2plf,aprenderéis;3plf,aprenderán
apretar;inf,apretar;1sg,aprieto;2sg,aprietas;3sg,aprieta;1pl,apretamos;2pl,apretáis;3pl,aprietan;part,apretando;2pl!,apretad;1sg->,apretaría;2sg->,apretarías;1pl->,apretaríamos;2pl->,apretaríais;3pl->,apretarían;1sg?,apriete;2sg?,aprietes;1pl?,apretemos;2pl?,apretéis;3pl?,aprieten;1sgp,apretaba;2sgp,apretabas;1ppl,apretábamos;2ppl,apretabais;3ppl,apretaban;ppart,apretado;1sgp?,apretara;2sgp?,apretaras;1ppl?,apretáramos;2ppl?,apretarais;3ppl?,apretaran;1sgf,apretaré;2sgf,apretarás;3sgf,apretará;1plf,apretaremos;2plf,apretaréis;3plf,apretarán
aprobar;inf,aprobar;1sg,apruebo;2sg,apruebas;3sg,aprueba;1pl,aprobamos;2pl,aprobáis;3pl,aprueban;part,aprobando;2pl!,aprobad;1sg->,aprobaría;2sg->,aprobarías;1pl->,aprobaríamos;2pl->,aprobaríais;3pl->,aprobarían;1sg?,apruebe;2sg?,apruebes;1pl?,aprobemos;2pl?,aprobéis;3pl?,aprueben;1sgp,aprobaba;2sgp,aprobabas;1ppl,aprobábamos;2ppl,aprobabais;3ppl,aprobaban;ppart,aprobado;1sgp?,aprobara;2sgp?,aprobaras;1ppl?,aprobáramos;2ppl?,aprobarais;3ppl?,aprobaran;1sgf,aprobaré;2sgf,aprobarás;3sgf,aprobará;1plf,aprobaremos;2plf,aprobaréis;3plf,aprobarán
aprovechar;inf,aprovechar;1sg,aprovecho;2sg,aprovechas;3sg,aprovecha;1pl,aprovechamos;2pl,aprovecháis;3pl,aprovechan;part,aprovechando;2pl!,aprovechad;1sg->,aprovecharía;2sg->,aprovecharías;1pl->,aprovecharíamos;2pl->,aprovecharíais;3pl->,aprovecharían;1sg?,aproveche;2sg?,aproveches;1pl?,aprovechemos;2pl?,aprovechéis;3pl?,aprovechen;1sgp,aprovechaba;2sgp,aprovechabas;1ppl,aprovechábamos;2ppl,aprovechabais;3ppl,aprovechaban;ppart,aprovechado;1sgp?,aprovechara;2sgp?,aprovecharas;1ppl?,aprovecháramos;2ppl?,aprovecharais;3ppl?,aprovecharan;1sgf,aprovecharé;2sgf,aprovecharás;3sgf,aprovechará;1plf,aprovecharemos;2plf,aprovecharéis;3plf,aprovecharán
apuntar;inf,apuntar;1sg,apunto;2sg,apuntas;3sg,apunta;1pl,apuntamos;2pl,apuntáis;3pl,apuntan;part,apuntando;2pl!,apuntad;1sg->,apuntaría;2sg->,apuntarías;1pl->,apuntaríamos;2pl->,apuntaríais;3pl->,apuntarían;1sg?,apunte;2sg?,apuntes;1pl?,apuntemos;2pl?,apuntéis;3pl?,apunten;1sgp,apuntaba;2sgp,apuntabas;1ppl,apuntábamos;2ppl,apuntabais;3ppl,apuntaban;ppart,apuntado;1sgp?,apuntara;2sgp?,apuntaras;1ppl?,apuntáramos;2ppl?,apuntarais;3ppl?,apuntaran;1sgf,apuntaré;2sgf,apuntarás;3sgf,apuntará;1plf,apuntaremos;2plf,apuntaréis;3plf,apuntarán
