abanderar;inf,abanderar;1sg,abandero;2sg,abanderas;3sg,abandera;1pl,abanderamos;2pl,abanderáis;3pl,abanderan;part,abanderando;2pl!,abanderad;1sg->,abanderaría;2sg->,abanderarías;1pl->,abanderaríamos;2pl->,abanderaríais;3pl->,abanderarían;1sg?,abandere;2sg?,abanderes;1pl?,abanderemos;2pl?,abanderéis;3pl?,abanderen;1sgp,abanderaba;2sgp,abanderabas;1ppl,abanderábamos;2ppl,abanderabais;3ppl,abanderaban;ppart,abanderado;1sgp?,abanderara;2sgp?,abanderaras;1ppl?,abanderáramos;2ppl?,abanderarais;3ppl?,abanderaran;1sgf,abanderaré;2sgf,abanderarás;3sgf,abanderará;1plf,abanderaremos;2plf,abanderaréis;3plf,abanderarán
ablandar;inf,ablandar;1sg,ablando;2sg,ablandas;3sg,ablanda;1pl,ablandamos;2pl,ablandáis;3pl,ablandan;part,ablandando;2pl!,ablandad;1sg->,ablandaría;2sg->,ablandarías;1pl->,ablandaríamos;2pl->,ablandaríais;3pl->,ablandarían;1sg?,ablande;2sg?,ablandes;1pl?,ablandemos;2pl?,ablandéis;3pl?,ablanden;1sgp,ablandaba;2sgp,ablandabas;1ppl,ablandábamos;2ppl,ablandabais;3ppl,ablandaban;ppart,ablandado;1sgp?,ablandara;2sgp?,ablandaras;1ppl?,ablandáramos;2ppl?,ablandarais;3ppl?,ablandaran;1sgf,ablandaré;2sgf,ablandarás;3sgf,ablandará;1plf,ablandaremos;2plf,ablandaréis;3plf,ablandarán
abocar;inf,abocar;1sg,aboco;2sg,abocas;3sg,aboca;1pl,abocamos;2pl,abocáis;3pl,abocan;part,abocando;2pl!,abocad;1sg->,abocaría;2sg->,abocarías;1pl->,abocaríamos;2pl->,abocaríais;3pl->,abocarían;1sg?,aboce;2sg?,aboces;1pl?,abocemos;2pl?,abocéis;3pl?,abocen;1sgp,abocaba;2sgp,abocabas;1ppl,abocábamos;2ppl,abocabais;3ppl,abocaban;ppart,abocado;1sgp?,abocara;2sgp?,abocaras;1ppl?,abocáramos;2ppl?,abocarais;3ppl?,abocaran;1sgf,abocaré;2sgf,abocarás;3sgf,abocará;1plf,abocaremos;2plf,abocaréis;3plf,abocarán
abocetar;inf,abocetar;1sg,aboceto;2sg,abocetas;3sg,aboceta;1pl,abocetamos;2pl,abocetáis;3pl,abocetan;part,abocetando;2pl!,abocetad;1sg->,abocetaría;2sg->,abocetarías;1pl->,abocetaríamos;2pl->,abocetaríais;3pl->,abocetarían;1sg?,abocete;2sg?,abocetes;1pl?,abocetemos;2pl?,abocetéis;3pl?,aboceten;1sgp,abocetaba;2sgp,abocetabas;1ppl,abocetábamos;2ppl,abocetabais;3ppl,abocetaban;ppart,abocetado;1sgp?,abocetara;2sgp?,abocetaras;1ppl?,abocetáramos;2ppl?,abocetarais;3ppl?,abocetaran;1sgf,abocetaré;2sgf,abocetarás;3sgf,abocetará;1plf,abocetaremos;2plf,abocetaréis;3plf,abocetarán
abofetar;inf,abofetar;1sg,abofeto;2sg,abofetas;3sg,abofeta;1pl,abofetamos;2pl,abofetáis;3pl,abofetan;part,abofetando;2pl!,abofetad;1sg->,abofetaría;2sg->,abofetarías;1pl->,abofetaríamos;2pl->,abofetaríais;3pl->,abofetarían;1sg?,abofete;2sg?,abofetes;1pl?,abofetemos;2pl?,abofetéis;3pl?,abofeten;1sgp,abofetaba;2sgp,abofetabas;1ppl,abofetábamos;2ppl,abofetabais;3ppl,abofetaban;ppart,abofetado;1sgp?,abofetara;2sgp?,abofetaras;1ppl?,abofetáramos;2ppl?,abofetarais;3ppl?,abofetaran;1sgf,abofetaré;2sgf,abofetarás;3sgf,abofetará;1plf,abofetaremos;2plf,abofetaréis;3plf,abofetarán
abogar;inf,abogar;1sg,abogo;2sg,abogas;3sg,aboga;1pl,abogamos;2pl,abogáis;3pl,abogan;part,abogando;2pl!,abogad;1sg->,abogaría;2sg->,abogarías;1pl->,abogaríamos;2pl->,abogaríais;3pl->,abogarían;1sg?,aboge;2sg?,aboges;1pl?,abogemos;2pl?,abogéis;3pl?,abogen;1sgp,abogaba;2sgp,abogabas;1ppl,abogábamos;2ppl,abogabais;3ppl,abogaban;ppart,abogado;1sgp?,abogara;2sgp?,abogaras;1ppl?,abogáramos;2ppl?,abogarais;3ppl?,abogaran;1sgf,abogaré;2sgf,abogarás;3sgf,abogará;1plf,abogaremos;2plf,abogaréis;3plf,abogarán
abolir;inf,abolir;1sg,abolo;2sg,aboles;3sg,abole;1pl,abolimos;2pl,aboleis;3pl,abolen;part,aboliendo;2sg!,abola;2pl!,abolid;1sg->,aboliría;2sg->,abolirías;1pl->,aboliríamos;2pl->,aboliríais;3pl->,abolirían;2sg?,abolas;1pl?,abolamos;2pl?,aboláis;3pl?,abolan;1sgp,abolía;2sgp,abolías;1ppl,abolíamos;2ppl,abolíais;3ppl,abolían;ppart,abolido;1sgp?,aboliera;2sgp?,abolieras;1ppl?,aboliéramos;2ppl?,abolierais;3ppl?,abolieran;1sgf,aboliré;2sgf,abolirás;3sgf,abolirá;1plf,aboliremos;2plf,aboliréis;3plf,abolirán
abollar;inf,abollar;1sg,abollo;2sg,abollas;3sg,abolla;1pl,abollamos;2pl,abolláis;3pl,abollan;part,abollando;2pl!,abollad;1sg->,abollaría;2sg->,abollarías;1pl->,abollaríamos;2pl->,abollaríais;3pl->,abollarían;1sg?,abolle;2sg?,abolles;1pl?,abollemos;2pl?,abolléis;3pl?,abollen;1sgp,abollaba;2sgp,abollabas;1ppl,abollábamos;2ppl,abollabais;3ppl,abollaban;ppart,abollado;1sgp?,abollara;2sgp?,abollaras;1ppl?,abolláramos;2ppl?,abollarais;3ppl?,abollaran;1sgf,abollaré;2sgf,abollarás;3sgf,abollará;1plf,abollaremos;2plf,abollaréis;3plf,abollarán
abominar;inf,abominar;1sg,abomino;2sg,abominas;3sg,abomina;1pl,abominamos;2pl,abomináis;3pl,abominan;part,abominando;2pl!,abominad;1sg->,abominaría;2sg->,abominarías;1pl->,abominaríamos;2pl->,abominaríais;3pl->,abominarían;1sg?,abomine;2sg?,abomines;1pl?,abominemos;2pl?,abominéis;3pl?,abominen;1sgp,abominaba;2sgp,abominabas;1ppl,abominábamos;2ppl,abominabais;3ppl,abominaban;ppart,abominado;1sgp?,abominara;2sgp?,abominaras;1ppl?,abomináramos;2ppl?,abominarais;3ppl?,abominaran;1sgf,abominaré;2sgf,abominarás;3sgf,abominará;1plf,abominaremos;2plf,abominaréis;3plf,abominarán
abonar;inf,abonar;1sg,abono;2sg,abonas;3sg,abona;1pl,abonamos;2pl,abonáis;3pl,abonan;part,abonando;2pl!,abonad;1sg->,abonaría;2sg->,abonarías;1pl->,abonaríamos;2pl->,abonaríais;3pl->,abonarían;1sg?,abone;2sg?,abones;1pl?,abonemos;2pl?,abonéis;3pl?,abonen;1sgp,abonaba;2sgp,abonabas;1ppl,abonábamos;2ppl,abonabais;3ppl,abonaban;ppart,abonado;1sgp?,abonara;2sgp?,abonaras;1ppl?,abonáramos;2ppl?,abonarais;3ppl?,abonaran;1sgf,abonaré;2sgf,abonarás;3sgf,abonará;1plf,abonaremos;2plf,abonaréis;3plf,abonarán
abordar;inf,abordar;1sg,abordo;2sg,abordas;3sg,aborda;1pl,abordamos;2pl,abordáis;3pl,abordan;part,abordando;2pl!,abordad;1sg->,abordaría;2sg->,abordarías;1pl->,abordaríamos;2pl->,abordaríais;3pl->,abordarían;1sg?,aborde;2sg?,abordes;1pl?,abordemos;2pl?,abordéis;3pl?,aborden;1sgp,abordaba;2sgp,abordabas;1ppl,abordábamos;2ppl,abordabais;3ppl,abordaban;ppart,abordado;1sgp?,abordara;2sgp?,abordaras;1ppl?,abordáramos;2ppl?,abordarais;3ppl?,abordaran;1sgf,abordaré;2sgf,abordarás;3sgf,abordará;1plf,abordaremos;2plf,abordaréis;3plf,abordarán
aborrecer;inf,aborrecer;1sg,aborreco;2sg,aborreces;3sg,aborrece;1pl,aborrecemos;2pl,aborrecéis;3pl,aborrecen;part,aborreciendo;2sg!,aborreca;2pl!,aborreced;1sg->,aborrecería;2sg->,aborrecerías;1pl->,aborreceríamos;2pl->,aborreceríais;3pl->,aborrecerían;2sg?,aborrecas;1pl?,aborrecamos;2pl?,aborrecáis;3pl?,aborrecan;1sgp,aborrecía;2sgp,aborrecías;1ppl,aborrecíamos;2ppl,aborrecíais;3ppl,aborrecían;ppart,aborrecido;1sgp?,aborreciera;2sgp?,aborrecieras;1ppl?,aborreciéramos;2ppl?,aborrecierais;3ppl?,aborrecieran;1sgf,aborreceré;2sgf,aborrecerás;3sgf,aborrecerá;1plf,aborreceremos;2plf,aborreceréis;3plf,aborrecerán
abrasar;inf,abrasar;1sg,abraso;2sg,abrasas;3sg,abrasa;1pl,abrasamos;2pl,abrasáis;3pl,abrasan;part,abrasando;2pl!,abrasad;1sg->,abrasaría;2sg->,abrasarías;1pl->,abrasaríamos;2pl->,abrasaríais;3pl->,abrasarían;1sg?,abrase;2sg?,abrases;1pl?,abrasemos;2pl?,abraséis;3pl?,abrasen;1sgp,abrasaba;2sgp,abrasabas;1ppl,abrasábamos;2ppl,abrasabais;3ppl,abrasaban;ppart,abrasado;1sgp?,abrasara;2sgp?,abrasaras;1ppl?,abrasáramos;2ppl?,abrasarais;3ppl?,abrasaran;1sgf,abrasaré;2sgf,abrasarás;3sgf,abrasará;1plf,abrasaremos;2plf,abrasaréis;3plf,abrasarán
abrazar;inf,abrazar;1sg,abrazo;2sg,abrazas;3sg,abraza;1pl,abrazamos;2pl,abrazáis;3pl,abrazan;part,abrazando;2pl!,abrazad;1sg->,abrazaría;2sg->,abrazarías;1pl->,abrazaríamos;2pl->,abrazaríais;3pl->,abrazarían;1sg?,abrace;2sg?,abraces;1pl?,abracemos;2pl?,abracéis;3pl?,abracen;1sgp,abrazaba;2sgp,abrazabas;1ppl,abrazábamos;2ppl,abrazabais;3ppl,abrazaban;ppart,abrazado;1sgp?,abrazara;2sgp?,abrazaras;1ppl?,abrazáramos;2ppl?,abrazarais;3ppl?,abrazaran;1sgf,abrazaré;2sgf,abrazarás;3sgf,abrazará;1plf,abrazaremos;2plf,abrazaréis;3plf,abrazarán
abreviar;inf,abreviar;1sg,abrevio;2sg,abrevias;3sg,abrevia;1pl,abreviamos;2pl,abreviáis;3pl,abrevian;part,abreviando;2pl!,abreviad;1sg->,abreviaría;2sg->,abreviarías;1pl->,abreviaríamos;2pl->,abreviaríais;3pl->,abreviarían;1sg?,abrevie;2sg?,abrevies;1pl?,abreviemos;2pl?,abreviéis;3pl?,abrevien;1sgp,abreviaba;2sgp,abreviabas;1ppl,abreviábamos;2ppl,abreviabais;3ppl,abreviaban;ppart,abreviado;1sgp?,abreviara;2sgp?,abreviaras;1ppl?,abreviáramos;2ppl?,abreviarais;3ppl?,abreviaran;1sgf,abreviaré;2sgf,abreviarás;3sgf,abreviará;1plf,abreviaremos;2plf,abreviaréis;3plf,abreviarán
abrigar;inf,abrigar;1sg,abrigo;2sg,abrigas;3sg,abriga;1pl,abrigamos;2pl,abrigáis;3pl,abrigan;part,abrigando;2pl!,abrigad;1sg->,abrigaría;2sg->,abrigarías;1pl->,abrigaríamos;2pl->,abrigaríais;3pl->,abrigarían;1sg?,abrige;2sg?,abriges;1pl?,abrigemos;2pl?,abrigéis;3pl?,abrigen;1sgp,abrigaba;2sgp,abrigabas;1ppl,abrigábamos;2ppl,abrigabais;3ppl,abrigaban;ppart,abrigado;1sgp?,abrigara;2sgp?,abrigaras;1ppl?,abrigáramos;2ppl?,abrigarais;3ppl?,abrigaran;1sgf,abrigaré;2sgf,abrigarás;3sgf,abrigará;1plf,abrigaremos;2plf,abrigaréis;3plf,abrigarán
abrir;inf,abrir;1sg,abro;2sg,abres;3sg,abre;1pl,abrimos;2pl,abrís;3pl,abren;part,abriendo;2pl!,abrid;1sg->,abriría;2sg->,abrirías;1pl->,abriríamos;2pl->,abriríais;3pl->,abrirían;1sg?,abra;2sg?,abras;1pl?,abramos;2pl?,abráis;3pl?,abran;1sgp,abría;2sgp,abrías;1ppl,abríamos;2ppl,abríais;3ppl,abrían;ppart,abierto;1sgp?,abriera;2sgp?,abrieras;1ppl?,abriéramos;2ppl?,abrierais;3ppl?,abrieran;1sgf,abriré;2sgf,abrirás;3sgf,abrirá;1plf,abriremos;2plf,abriréis;3plf,abrirán
abrochar;inf,abrochar;1sg,abrocho;2sg,abrochas;3sg,abrocha;1pl,abrochamos;2pl,abrocháis;3pl,abrochan;part,abrochando;2pl!,abrochad;1sg->,abrocharía;2sg->,abrocharías;1pl->,abrocharíamos;2pl->,abrocharíais;3pl->,abrocharían;1sg?,abroche;2sg?,abroches;1pl?,abrochemos;2pl?,abrochéis;3pl?,abrochen;1sgp,abrochaba;2sgp,abrochabas;1ppl,abrochábamos;2ppl,abrochabais;3ppl,abrochaban;ppart,abrochado;1sgp?,abrochara;2sgp?,abrocharas;1ppl?,abrocháramos;2ppl?,abrocharais;3ppl?,abrocharan;1sgf,abrocharé;2sgf,abrocharás;3sgf,abrochará;1plf,abrocharemos;2plf,abrocharéis;3plf,abrocharán
absolver;inf,absolver;1sg,absolvo;2sg,absolves;3sg,absolve;1pl,absolvemos;2pl,absolvéis;3pl,absolven;part,absolviendo;2sg!,absolva;2pl!,absolved;1sg->,absolvería;2sg->,absolverías;1pl->,absolveríamos;2pl->,absolveríais;3pl->,absolverían;2sg?,absolvas;1pl?,absolvamos;2pl?,absolváis;3pl?,absolvan;1sgp,absolvía;2sgp,absolvías;1ppl,absolvíamos;2ppl,absolvíais;3ppl,absolvían;ppart,absolvido;1sgp?,absolviera;2sgp?,absolvieras;1ppl?,absolviéramos;2ppl?,absolvierais;3ppl?,absolvieran;1sgf,absolveré;2sgf,absolverás;3sgf,absolverá;1plf,absolveremos;2plf,absolveréis;3plf,absolverán
absorber;inf,absorber;1sg,absorbo;2sg,absorbes;3sg,absorbe;1pl,absorbemos;2pl,absorbéis;3pl,absorben;part,absorbiendo;2sg!,absorba;2pl!,absorbed;1sg->,absorbería;2sg->,absorberías;1pl->,absorberíamos;2pl->,absorberíais;3pl->,absorberían;2sg?,absorbas;1pl?,absorbamos;2pl?,absorbáis;3pl?,absorban;1sgp,absorbía;2sgp,absorbías;1ppl,absorbíamos;2ppl,absorbíais;3ppl,absorbían;ppart,absorbido;1sgp?,absorbiera;2sgp?,absorbieras;1ppl?,absorbiéramos;2ppl?,absorbierais;3ppl?,absorbieran;1sgf,absorberé;2sgf,absorberás;3sgf,absorberá;1plf,absorberemos;2plf,absorberéis;3plf,absorberán
absorver;inf,absorver;1sg,absorvo;2sg,absorves;3sg,absorve;1pl,absorvemos;2pl,absorvéis;3pl,absorven;part,absorviendo;2sg!,absorva;2pl!,absorved;1sg->,absorvería;2sg->,absorverías;1pl->,absorveríamos;2pl->,absorveríais;3pl->,absorverían;2sg?,absorvas;1pl?,absorvamos;2pl?,absorváis;3pl?,absorvan;1sgp,absorvía;2sgp,absorvías;1ppl,absorvíamos;2ppl,absorvíais;3ppl,absorvían;ppart,absorvido;1sgp?,absorviera;2sgp?,absorvieras;1ppl?,absorviéramos;2ppl?,absorvierais;3ppl?,absorvieran;1sgf,absorveré;2sgf,absorverás;3sgf,absorverá;1plf,absorveremos;2plf,absorveréis;3plf,absorverán
abstener;inf,abstener;1sg,absteno;2sg,abstenes;3sg,abstene;1pl,abstenemos;2pl,abstenéis;3pl,abstenen;part,absteniendo;2sg!,abstena;2pl!,abstened;1sg->,abstenería;2sg->,abstenerías;1pl->,absteneríamos;2pl->,absteneríais;3pl->,abstenerían;2sg?,abstenas;1pl?,abstenamos;2pl?,abstenáis;3pl?,abstenan;1sgp,abstenía;2sgp,abstenías;1ppl,absteníamos;2ppl,absteníais;3ppl,abstenían;ppart,abstenido;1sgp?,absteniera;2sgp?,abstenieras;1ppl?,absteniéramos;2ppl?,abstenierais;3ppl?,abstenieran;1sgf,absteneré;2sgf,abstenerás;3sgf,abstenerá;1plf,absteneremos;2plf,absteneréis;3plf,abstenerán
abundar;inf,abundar;1sg,abundo;2sg,abundas;3sg,abunda;1pl,abundamos;2pl,abundáis;3pl,abundan;part,abundando;2pl!,abundad;1sg->,abundaría;2sg->,abundarías;1pl->,abundaríamos;2pl->,abundaríais;3pl->,abundarían;1sg?,abunde;2sg?,abundes;1pl?,abundemos;2pl?,abundéis;3pl?,abunden;1sgp,abundaba;2sgp,abundabas;1ppl,abundábamos;2ppl,abundabais;3ppl,abundaban;ppart,abundado;1sgp?,abundara;2sgp?,abundaras;1ppl?,abundáramos;2ppl?,abundarais;3ppl?,abundaran;1sgf,abundaré;2sgf,abundarás;3sgf,abundará;1plf,abundaremos;2plf,abundaréis;3plf,abundarán
